x;y
-5.0;0.2961283229989573
-4.99;0.2852987375557262
-4.98;0.27453136168434983
-4.970000000000001;0.26382355722057954
-4.960000000000001;0.2531727394933518
-4.950000000000001;0.2425763746517632
-4.940000000000001;0.2320319770902657
-4.9300000000000015;0.22153710696622267
-4.920000000000002;0.21108936780425386
-4.910000000000002;0.2006864041821097
-4.900000000000002;0.19032589949306414
-4.890000000000002;0.1800055737800743
-4.880000000000003;0.1697231816371865
-4.870000000000003;0.15947651017386552
-4.860000000000003;0.14926337703815037
-4.850000000000003;0.13908162849470296
-4.840000000000003;0.12892913755397717
-4.830000000000004;0.11880380214892895
-4.820000000000004;0.10870354335578665
-4.810000000000004;0.09862630365557296
-4.800000000000004;0.08857004523316228
-4.7900000000000045;0.07853274831079043
-4.780000000000005;0.06851240951301198
-4.770000000000005;0.05850704026022481
-4.760000000000005;0.04851466518793248
-4.750000000000005;0.0385333205889946
-4.7400000000000055;0.028561052876218455
-4.730000000000006;0.018595917062632528
-4.720000000000006;0.00863597525691364
-4.710000000000006;-0.0034362752425752758
-4.700000000000006;-0.013394262617008764
-4.690000000000007;-0.02335642699195154
-4.680000000000007;-0.033324700428869466
-4.670000000000007;-0.04330102379421747
-4.660000000000007;-0.05328734568377599
-4.6500000000000075;-0.06328562393245375
-4.640000000000008;-0.0732978271400041
-4.630000000000008;-0.0833259362152141
-4.620000000000008;-0.09337194594121864
-4.610000000000008;-0.10343786656461834
-4.6000000000000085;-0.11352572541116085
-4.590000000000009;-0.12363756853082446
-4.580000000000009;-0.13377546237522017
-4.570000000000009;-0.14394149551032562
-4.560000000000009;-0.1541377803676681
-4.55000000000001;-0.1643664550371754
-4.54000000000001;-0.17462968510506988
-4.53000000000001;-0.18492966554026127
-4.52000000000001;-0.19526862263289546
-4.5100000000000104;-0.20564881598884557
-4.500000000000011;-0.2160725405841001
-4.490000000000011;-0.2265421288832053
-4.480000000000011;-0.23705995302611177
-4.470000000000011;-0.2476284270879846
-4.4600000000000115;-0.2582500094167831
-4.450000000000012;-0.26892720505365514
-4.440000000000012;-0.2796625682414694
-4.430000000000012;-0.29045870502709603
-4.420000000000012;-0.3013182759633607
-4.410000000000013;-0.3122439989169353
-4.400000000000013;-0.32323865198878554
-4.390000000000013;-0.3343050765541992
-4.380000000000013;-0.34544618042982145
-4.370000000000013;-0.356664941175585
-4.360000000000014;-0.36796440953991827
-4.350000000000014;-0.3793620367318119
-4.340000000000014;-0.3908337385456591
-4.330000000000014;-0.40239589038757007
-4.3200000000000145;-0.41405188238758944
-4.310000000000015;-0.42580519825537344
-4.300000000000015;-0.4376594198453321
-4.290000000000015;-0.4496182319449283
-4.280000000000015;-0.4616854273004027
-4.270000000000016;-0.4738649118951386
-4.260000000000016;-0.4861607104969861
-4.250000000000016;-0.498576972492011
-4.240000000000016;-0.5111179780233849
-4.230000000000016;-0.5237881444554934
-4.220000000000017;-0.5365920331848191
-4.210000000000017;-0.5495343568207539
-4.200000000000017;-0.562619986761204
-4.190000000000017;-0.5756909006068439
-4.1800000000000175;-0.5890854370716843
-4.170000000000018;-0.6026386365620864
-4.160000000000018;-0.616356102082475
-4.150000000000018;-0.6302436397733652
-4.140000000000018;-0.6443072695143496
-4.1300000000000185;-0.6585532361585507
-4.120000000000019;-0.6729880214441384
-4.110000000000019;-0.6876183566322779
-4.100000000000019;-0.7024512359249572
-4.090000000000019;-0.7174939307206755
-4.08000000000002;-0.7327540047708708
-4.07000000000002;-0.7482393303053936
-4.06000000000002;-0.7639581052012624
-4.05000000000002;-0.7799188712754733
-4.0400000000000205;-0.7961305337898075
-4.030000000000021;-0.8126023822635179
-4.020000000000021;-0.8293441126984502
-4.010000000000021;-0.8463658513308512
-4.000000000000021;-0.8636781800346865
-3.9900000000000215;-0.8812921635131084
-3.9800000000000217;-0.8992193784277247
-3.970000000000022;-0.917471944629772
-3.960000000000022;-0.9360625586733414
-3.9500000000000224;-0.9550045298086263
-3.9400000000000226;-0.9743118186730152
-3.930000000000023;-0.9939990789199271
-3.920000000000023;-1.0140817020499886
-3.9100000000000232;-1.03457586573667
-3.9000000000000234;-1.0554985859693455
-3.8900000000000237;-1.0768677733712684
-3.880000000000024;-1.0987022940886948
-3.870000000000024;-1.1210220356909315
-3.8600000000000243;-1.1438479785700868
-3.8500000000000245;-1.1672022733845049
-3.8400000000000247;-1.1911083251522299
-3.830000000000025;-1.2155908846713386
-3.820000000000025;-1.2406761480238377
-3.8100000000000254;-1.2663918650104535
-3.8000000000000256;-1.2927674574666452
-3.790000000000026;-1.3198341485275116
-3.780000000000026;-1.347625104043121
-3.770000000000026;-1.3761755874988923
-3.7600000000000264;-1.4055231299709712
-3.7500000000000266;-1.4357077168478924
-3.740000000000027;-1.4667719932814314
-3.730000000000027;-1.4987614905966133
-3.7200000000000273;-1.531724876199517
-3.7100000000000275;-1.5657142298790714
-3.7000000000000277;-1.6007853498143112
-3.690000000000028;-1.636998092081984
-3.680000000000028;-1.6744167480237548
-3.6700000000000284;-1.7131104644927768
-3.6600000000000286;-1.7526438565343982
-3.6500000000000288;-1.7940686251201243
-3.640000000000029;-1.8370050992902456
-3.630000000000029;-1.8815465822510302
-3.6200000000000294;-1.9277941461412313
-3.6100000000000296;-1.9758574596656175
-3.60000000000003;-2.02585572379935
-3.59000000000003;-2.0779187323942643
-3.5800000000000303;-2.1321880775819024
-3.5700000000000305;-2.188818523574038
-3.5600000000000307;-2.2479795769626354
-3.550000000000031;-2.309857287111445
-3.540000000000031;-2.3746563169588253
-3.5300000000000313;-2.442602332833379
-3.5200000000000315;-2.5139447721301535
-3.5100000000000318;-2.588960060437201
-3.500000000000032;-2.6679553656347252
-3.490000000000032;-2.7513684123131603
-3.4800000000000324;-2.8393882165034503
-3.4700000000000326;-2.9325421686128204
